[33mThe CJS build of Vite's Node API is deprecated. See https://vite.dev/guide/troubleshooting.html#vite-cjs-node-api-deprecated for more details.[39m
Re-optimizing dependencies because lockfile has changed
1:17:31 AM [vite] page reload js/ui/components/spline-curve-editor.js
1:17:43 AM [vite] page reload js/ui/components/spline-curve-editor.js
1:17:52 AM [vite] page reload js/ui/components/spline-curve-editor.js
1:18:02 AM [vite] page reload js/ui/components/spline-curve-editor.js
1:18:14 AM [vite] page reload js/ui/components/spline-curve-editor.js
1:18:24 AM [vite] page reload js/ui/components/spline-curve-editor.js
1:18:41 AM [vite] page reload js/ui/floating-color-correction.js
1:18:51 AM [vite] page reload js/ui/floating-color-correction.js
1:18:57 AM [vite] page reload js/ui/floating-color-correction.js
1:19:00 AM [vite] page reload js/ui/floating-color-correction.js
1:19:02 AM [vite] page reload js/ui/floating-color-correction.js
1:19:11 AM [vite] page reload js/ui/floating-color-correction.js
9:49:56 AM [vite] page reload js/core/StateSyncManager.js
9:50:02 AM [vite] page reload js/core/StateSyncManager.js
9:50:04 AM [vite] page reload js/core/StateSyncManager.js
9:50:55 AM [vite] page reload js/ui/components/color-balance-wheel.js
9:51:23 AM [vite] page reload js/core/StateSyncManager.js
9:52:11 AM [vite] page reload js/ui/components/color-balance-wheel.js
9:52:27 AM [vite] page reload js/ui/floating-color-correction.js
9:52:42 AM [vite] page reload js/ui/floating-color-correction.js
9:55:12 AM [vite] page reload js/ui/floating-color-correction.js
9:55:36 AM [vite] page reload src/main.js
9:55:39 AM [vite] page reload src/main.js
9:57:01 AM [vite] page reload js/renderers/WebGLRenderer.js
9:57:22 AM [vite] page reload js/renderers/WebGLRenderer.js
9:57:36 AM [vite] page reload js/renderers/WebGLRenderer.js
9:57:40 AM [vite] page reload js/renderers/WebGLRenderer.js
9:57:52 AM [vite] page reload js/renderers/WebGLRenderer.js
9:58:56 AM [vite] page reload js/renderers/WebGLRenderer.js
9:59:55 AM [vite] page reload js/renderers/WebGLRenderer.js
10:19:12 AM [vite] page reload js/ui/floating-color-correction.js
10:19:21 AM [vite] page reload js/ui/floating-color-correction.js
10:19:41 AM [vite] page reload js/ui/floating-color-correction.js
10:20:06 AM [vite] page reload js/ui/floating-color-correction.js
10:24:52 AM [vite] page reload js/ui/floating-color-correction.js
10:25:27 AM [vite] page reload js/ui/floating-color-correction.js
10:25:48 AM [vite] page reload js/ui/floating-color-correction.js
10:25:51 AM [vite] page reload js/ui/floating-color-correction.js
10:26:00 AM [vite] page reload js/ui/floating-color-correction.js
10:26:09 AM [vite] page reload js/ui/floating-color-correction.js
10:26:24 AM [vite] page reload js/ui/floating-color-correction.js
10:26:32 AM [vite] page reload js/ui/floating-color-correction.js
10:26:46 AM [vite] page reload js/ui/floating-color-correction.js
10:26:56 AM [vite] page reload js/ui/components/color-balance-wheel.js
10:27:04 AM [vite] page reload js/ui/floating-color-correction.js
10:33:03 AM [vite] page reload js/renderers/WebGLRenderer.js
10:33:27 AM [vite] page reload js/renderers/WebGLRenderer.js
10:33:55 AM [vite] page reload js/renderers/WebGLRenderer.js
10:34:35 AM [vite] page reload js/renderers/WebGLRenderer.js
10:34:45 AM [vite] page reload js/ui/floating-color-correction.js
10:34:56 AM [vite] page reload js/ui/floating-color-correction.js
10:35:13 AM [vite] page reload js/ui/floating-color-correction.js
10:35:22 AM [vite] page reload js/ui/floating-color-correction.js
10:35:31 AM [vite] page reload js/ui/floating-color-correction.js
10:35:42 AM [vite] page reload js/ui/floating-color-correction.js
10:35:57 AM [vite] page reload js/renderers/WebGLRenderer.js
10:36:05 AM [vite] page reload js/ui/floating-color-correction.js
10:36:14 AM [vite] page reload js/ui/floating-color-correction.js
10:36:20 AM [vite] page reload js/ui/floating-color-correction.js
10:54:41 AM [vite] page reload js/renderers/WebGLRenderer.js
10:55:27 AM [vite] page reload js/renderers/WebGLRenderer.js
10:55:31 AM [vite] page reload js/renderers/WebGLRenderer.js
10:58:28 AM [vite] page reload js/ui/floating-color-correction.js
10:58:40 AM [vite] page reload js/ui/floating-color-correction.js
10:58:54 AM [vite] page reload js/ui/floating-color-correction.js
10:59:16 AM [vite] page reload js/ui/floating-color-correction.js
